filename,type,size,m,comparisons
./data/exp/dataset1000_1.txt,brute-force,1000,5,1499001
./data/exp/dataset1000_1.txt,efficient,1000,5,180744
./data/exp/dataset1000_1.txt,brute-force,1000,10,1500082
./data/exp/dataset1000_1.txt,efficient,1000,10,204940
./data/exp/dataset1000_1.txt,brute-force,1000,20,1505283
./data/exp/dataset1000_1.txt,efficient,1000,20,265887
./data/exp/dataset1000_2.txt,brute-force,1000,5,1498997
./data/exp/dataset1000_2.txt,efficient,1000,5,177754
./data/exp/dataset1000_2.txt,brute-force,1000,10,1500227
./data/exp/dataset1000_2.txt,efficient,1000,10,202830
./data/exp/dataset1000_2.txt,brute-force,1000,20,1504917
./data/exp/dataset1000_2.txt,efficient,1000,20,266119
./data/exp/dataset1000_3.txt,brute-force,1000,5,1498975
./data/exp/dataset1000_3.txt,efficient,1000,5,179631
./data/exp/dataset1000_3.txt,brute-force,1000,10,1500293
./data/exp/dataset1000_3.txt,efficient,1000,10,203955
./data/exp/dataset1000_3.txt,brute-force,1000,20,1504398
./data/exp/dataset1000_3.txt,efficient,1000,20,266031
./data/exp/dataset1000_4.txt,brute-force,1000,5,1498872
./data/exp/dataset1000_4.txt,efficient,1000,5,181091
./data/exp/dataset1000_4.txt,brute-force,1000,10,1500364
./data/exp/dataset1000_4.txt,efficient,1000,10,204990
./data/exp/dataset1000_4.txt,brute-force,1000,20,1504721
./data/exp/dataset1000_4.txt,efficient,1000,20,266203
./data/exp/dataset1000_5.txt,brute-force,1000,5,1498876
./data/exp/dataset1000_5.txt,efficient,1000,5,180159
./data/exp/dataset1000_5.txt,brute-force,1000,10,1500330
./data/exp/dataset1000_5.txt,efficient,1000,10,205418
./data/exp/dataset1000_5.txt,brute-force,1000,20,1505112
./data/exp/dataset1000_5.txt,efficient,1000,20,267070
./data/exp/dataset100_1.txt,brute-force,100,5,15165
./data/exp/dataset100_1.txt,efficient,100,5,11905
./data/exp/dataset100_1.txt,brute-force,100,10,15873
./data/exp/dataset100_1.txt,efficient,100,10,14339
./data/exp/dataset100_1.txt,brute-force,100,20,18246
./data/exp/dataset100_1.txt,efficient,100,20,19934
./data/exp/dataset100_2.txt,brute-force,100,5,15146
./data/exp/dataset100_2.txt,efficient,100,5,12167
./data/exp/dataset100_2.txt,brute-force,100,10,15785
./data/exp/dataset100_2.txt,efficient,100,10,14068
./data/exp/dataset100_2.txt,brute-force,100,20,18314
./data/exp/dataset100_2.txt,efficient,100,20,19704
./data/exp/dataset100_3.txt,brute-force,100,5,15163
./data/exp/dataset100_3.txt,efficient,100,5,11568
./data/exp/dataset100_3.txt,brute-force,100,10,15833
./data/exp/dataset100_3.txt,efficient,100,10,13981
./data/exp/dataset100_3.txt,brute-force,100,20,18673
